id,name,email,phone,post,sector,employer,union,shift,years,personal,annual,long,created_at
1,Fred,fred@gmail.com,452210918,2000,Community sector,test company,1,1,6,60,25,4.80,1626665706000
2,Sam,sam@gmail.com,452210913,2001,Disability sector,test company,1,1,6,60,25,4.80,1626665706000
3,Jack,jack@gmail.com,452210914,2002,"Child protection, youth and family services",test company,1,1,6,60,25,4.80,1626665706000
4,Michael,michael@gmail.com,452210914,2002,Women’s Services,test company,1,1,6,60,25,4.80,1626665706000
5,Jennifer,jennifer@gmail.com,452210915,2002,Community and Neighbourhood Centres,test company,1,1,6,60,25,4.80,1626665706000
6,Cassandra,cassandra@gmail.com,4522109156,2005,Migrant and settlement services,test company,1,1,6,60,25,4.80,1626665706000
7,Julia,julia@gmail.com,4522109157,2006,Policy and Advocacy,test company,1,1,6,60,25,4.80,1626665706000
8,David,david@gmail.com,4522109158,2007,Housing and homelessness,test company,1,1,6,60,25,4.80,1626665706000
9,Mark,mark@gmail.com,4522109143,2008,Mental Health,test company,1,1,6,60,25,4.80,1626665706000
10,Fabio,fabio@gmail.com,4522109129,2010,Not For Profit,test company,1,1,6,60,25,4.80,1626665706000
11,Sally,sally@gmail.com,4522109112,2013,Other,test company,1,1,6,60,25,4.80,1626665706000
12,Michelle Watts,watts.e.michelle@gmail.com,61452210910,2204,Community sector,test,,,4,16,40,3.20,1626665724000
13,Michelle Watts,watts.e.michelle@gmail.com,61452210910,2204,Community sector,test,1,,6,24,60,4.80,1626741071000
